Series Id,Series Title,Area,Item,Last Average Price
APU0300703431,"Short ribs, any primal source, bone-in, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Short ribs, any primal source, bone-in, per lb. (453.6 gm)",No Data
APU0300703432,"Beef for stew, boneless, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Beef for stew, boneless, per lb. (453.6 gm)",8.784
APU0300703511,"Steak, round, USDA Choice, boneless, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Steak, round, USDA Choice, boneless, per lb. (453.6 gm)",9.586
APU0300703512,"Steak, round, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Steak, round, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)",9.176
APU0300703611,"Steak, sirloin, USDA Choice, bone-in, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Steak, sirloin, USDA Choice, bone-in, per lb. (453.6 gm)",No Data
APU0300703612,"Steak, sirloin, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Steak, sirloin, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)",No Data
APU0300703613,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)",13.64
APU0300704111,"Bacon, sliced, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Bacon, sliced, per lb. (453.6 gm)",6.485
APU0300704211,"Chops, center cut, bone-in, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Chops, center cut, bone-in, per lb. (453.6 gm)",4.558
APU0300704212,"Chops, boneless, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Chops, boneless, per lb. (453.6 gm)",4.716
APU0300704311,"Ham, rump or shank half, bone-in, smoked,per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Ham, rump or shank half, bone-in, smoked,per lb. (453.6 gm)",No Data
APU0300704312,"Ham, boneless, excluding canned, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Ham, boneless, excluding canned, per lb. (453.6 gm)",5.411
APU0300704313,"Ham, rump portion, bone-in, smoked (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Ham, rump portion, bone-in, smoked (cost per pound/453.6 grams)",No Data
APU0300704314,"Ham, shank portion, bone-in, smoked (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Ham, shank portion, bone-in, smoked (cost per pound/453.6 grams)",No Data
APU0300704321,"Ham, canned, 3 or 5 lbs, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Ham, canned, 3 or 5 lbs, per lb. (453.6 gm)",No Data
APU0300704411,"Pork shoulder roast, blade boston, bone-in (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Pork shoulder roast, blade boston, bone-in (cost per pound/453.6 grams)",No Data
APU0300704412,"Pork sirloin roast, bone-in (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Pork sirloin roast, bone-in (cost per pound/453.6 grams)",No Data
APU0300704413,"Shoulder picnic, bone-in, smoked, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Shoulder picnic, bone-in, smoked, per lb. (453.6 gm)",No Data
APU0300704421,"Sausage, fresh, loose, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Sausage, fresh, loose, per lb. (453.6 gm)",No Data
APU0300705111,"Frankfurters, all meat or all beef, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Frankfurters, all meat or all beef, per lb. (453.6 gm)",No Data
APU0300705121,"Bologna, all beef or mixed, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Bologna, all beef or mixed, per lb. (453.6 gm)",No Data
APU0300705141,"Beef liver (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,Beef liver (cost per pound/453.6 grams),No Data
APU0300706111,"Chicken, fresh, whole, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Chicken, fresh, whole, per lb. (453.6 gm)",1.907
APU0300706211,"Chicken breast, bone-in, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Chicken breast, bone-in, per lb. (453.6 gm)",No Data
APU0300706212,"Chicken legs, bone-in, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Chicken legs, bone-in, per lb. (453.6 gm)",1.797
APU0300706311,"Turkey, frozen, whole, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Turkey, frozen, whole, per lb. (453.6 gm)",No Data
APU0300707111,"Tuna, light, chunk, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Tuna, light, chunk, per lb. (453.6 gm)",No Data
APU0300708111,"Eggs, grade A, large, per doz. in South urban, average price, not seasonally adjusted",South,"Eggs, grade A, large, per doz.",3.171
APU0300709111,"Milk, fresh, whole, fortified, per 1/2 gal. (1.9 lit) in South urban, average price, not seasonally adjusted",South,"Milk, fresh, whole, fortified, per 1/2 gal. (1.9 lit)",No Data
APU0300709112,"Milk, fresh, whole, fortified, per gal. (3.8 lit) in South urban, average price, not seasonally adjusted",South,"Milk, fresh, whole, fortified, per gal. (3.8 lit)",4.185
APU0300709211,"Milk, fresh, skim (cost per one-half gallon/1.9 liters) in South urban, average price, not seasonally adjusted",South,"Milk, fresh, skim (cost per one-half gallon/1.9 liters)",No Data
APU0300709212,"Milk, fresh, low fat, per 1/2 gal. (1.9 lit) in South urban, average price, not seasonally adjusted",South,"Milk, fresh, low fat, per 1/2 gal. (1.9 lit)",No Data
APU0300709213,"Milk, fresh, low fat, per gal. (3.8 lit) in South urban, average price, not seasonally adjusted",South,"Milk, fresh, low fat, per gal. (3.8 lit)",No Data
APU0300710111,"Butter, salted, grade AA, stick, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Butter, salted, grade AA, stick, per lb. (453.6 gm)",No Data
APU0300710122,"Yogurt, natural, fruit flavored, per 8 oz. (226.8 gm) in South urban, average price, not seasonally adjusted",South,"Yogurt, natural, fruit flavored, per 8 oz. (226.8 gm)",No Data
APU0300710211,"American processed cheese, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"American processed cheese, per lb. (453.6 gm)",4.701
APU0300710212,"Cheddar cheese, natural, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Cheddar cheese, natural, per lb. (453.6 gm)",5.506
APU0300710411,"Ice cream, prepackaged, bulk, regular, per 1/2 gal. (1.9 lit) in South urban, average price, not seasonally adjusted",South,"Ice cream, prepackaged, bulk, regular, per 1/2 gal. (1.9 lit)",6.168
APU0300711111,"Apples, Red Delicious, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Apples, Red Delicious, per lb. (453.6 gm)",No Data
APU0300711211,"Bananas, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Bananas, per lb. (453.6 gm)",0.65
APU0300711311,"Oranges, Navel, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Oranges, Navel, per lb. (453.6 gm)",1.868
APU0300711312,"Oranges, Valencia, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Oranges, Valencia, per lb. (453.6 gm)",No Data
APU0300711411,"Grapefruit, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Grapefruit, per lb. (453.6 gm)",1.791
APU0300711412,"Lemons, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Lemons, per lb. (453.6 gm)",2.248
APU0300711413,"Pears, Anjou, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Pears, Anjou, per lb. (453.6 gm)",No Data
APU0300711414,"Peaches, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Peaches, per lb. (453.6 gm)",No Data
APU0300711415,"Strawberries, dry pint, per 12 oz. (340.2 gm) in South urban, average price, not seasonally adjusted",South,"Strawberries, dry pint, per 12 oz. (340.2 gm)",2.391
APU0300711416,"Grapes, Emperor or Tokay (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Grapes, Emperor or Tokay (cost per pound/453.6 grams)",No Data
APU0300711417,"Grapes, Thompson Seedless, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Grapes, Thompson Seedless, per lb. (453.6 gm)",No Data
APU0300711418,"Cherries, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Cherries, per lb. (453.6 gm)",No Data
APU0300712111,"Potatoes, white (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Potatoes, white (cost per pound/453.6 grams)",No Data
APU0300712112,"Potatoes, white, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Potatoes, white, per lb. (453.6 gm)",1.099
APU0300712211,"Lettuce, iceberg, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Lettuce, iceberg, per lb. (453.6 gm)",No Data
APU0300712311,"Tomatoes, field grown, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Tomatoes, field grown, per lb. (453.6 gm)",1.882
APU0300712401,"Cabbage, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Cabbage, per lb. (453.6 gm)",No Data
APU0300712402,"Celery, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Celery, per lb. (453.6 gm)",No Data
APU0300712403,"Carrots, short trimmed and topped, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Carrots, short trimmed and topped, per lb. (453.6 gm)",No Data
APU0300712404,"Onions, dry yellow, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Onions, dry yellow, per lb. (453.6 gm)",No Data
APU0300712405,"Onions, green scallions (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Onions, green scallions (cost per pound/453.6 grams)",No Data
APU0300712406,"Peppers, sweet, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Peppers, sweet, per lb. (453.6 gm)",No Data
APU0300712407,"Corn on the cob, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Corn on the cob, per lb. (453.6 gm)",No Data
APU0300712408,"Radishes (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,Radishes (cost per pound/453.6 grams),No Data
APU0300712409,"Cucumbers, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Cucumbers, per lb. (453.6 gm)",No Data
APU0300712410,"Beans, green, snap (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Beans, green, snap (cost per pound/453.6 grams)",No Data
APU0300712412,"Broccoli, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Broccoli, per lb. (453.6 gm)",No Data
APU0300713111,"Orange juice, frozen concentrate, 12 oz. can, per 16 oz. (473.2 ml) in South urban, average price, not seasonally adjusted",South,"Orange juice, frozen concentrate, 12 oz. can, per 16 oz. (473.2 ml)",4.633
APU0300713311,"Apple Sauce, any variety, all sizes, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Apple Sauce, any variety, all sizes, per lb. (453.6 gm)",No Data
APU0300713312,"Peaches, any variety, all sizes, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Peaches, any variety, all sizes, per lb. (453.6 gm)",No Data
APU0300714111,"Potatoes, frozen, French fried, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Potatoes, frozen, French fried, per lb. (453.6 gm)",No Data
APU0300714221,"Corn, canned, any style, all sizes, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Corn, canned, any style, all sizes, per lb. (453.6 gm)",No Data
APU0300714231,"Tomatoes, canned, whole, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Tomatoes, canned, whole, per lb. (453.6 gm)",No Data
APU0300714232,"Tomatoes, canned, any type, all sizes, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Tomatoes, canned, any type, all sizes, per lb. (453.6 gm)",No Data
APU0300714233,"Beans, dried, any type, all sizes, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Beans, dried, any type, all sizes, per lb. (453.6 gm)",1.629
APU0300715111,"Hard candy, solid (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Hard candy, solid (cost per pound/453.6 grams)",No Data
APU0300715211,"Sugar, white, all sizes, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Sugar, white, all sizes, per lb. (453.6 gm)",1.155
APU0300715212,"Sugar, white, 33-80 oz. pkg, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Sugar, white, 33-80 oz. pkg, per lb. (453.6 gm)",No Data
APU0300715311,"Jelly (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,Jelly (cost per pound/453.6 grams),No Data
APU0300716114,"Margarine, stick, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Margarine, stick, per lb. (453.6 gm)",No Data
APU0300716116,"Margarine, soft, tubs, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Margarine, soft, tubs, per lb. (453.6 gm)",No Data
APU0300716121,"Shortening, vegetable oil blends, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Shortening, vegetable oil blends, per lb. (453.6 gm)",No Data
APU0300716141,"Peanut butter, creamy, all sizes, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Peanut butter, creamy, all sizes, per lb. (453.6 gm)",No Data
APU0300717111,"Cola, non-diet, return bottles, 6 or 8 pack (cost per 16 ounces/473.2 ml) in South urban, average price, not seasonally adjusted",South,"Cola, non-diet, return bottles, 6 or 8 pack (cost per 16 ounces/473.2 ml)",No Data
APU0300717112,"Cola, non diet, return bottles, 24-40 ounce (cost per 16 ounces/473.2 ml) in South urban, average price, not seasonally adjusted",South,"Cola, non diet, return bottles, 24-40 ounce (cost per 16 ounces/473.2 ml)",No Data
APU0300717113,"Cola, nondiet, cans, 72 oz. 6 pk., per 16 oz. (473.2 ml) in South urban, average price, not seasonally adjusted",South,"Cola, nondiet, cans, 72 oz. 6 pk., per 16 oz. (473.2 ml)",No Data
APU0300717114,"Cola, nondiet, per 2 liters (67.6 oz) in South urban, average price, not seasonally adjusted",South,"Cola, nondiet, per 2 liters (67.6 oz)",No Data
APU0300717311,"Coffee, 100%, ground roast, all sizes, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Coffee, 100%, ground roast, all sizes, per lb. (453.6 gm)",9.28
APU0300717312,"Coffee, 100%, ground roast, 13.1-20 oz. can, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Coffee, 100%, ground roast, 13.1-20 oz. can, per lb. (453.6 gm)",No Data
APU0300717324,"Coffee, instant, plain, regular, 6.1-14 ounce (cost per 16 ounces/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Coffee, instant, plain, regular, 6.1-14 ounce (cost per 16 ounces/453.6 grams)",No Data
APU0300717325,"Coffee, freeze dried, regular, all sizes (cost per 16 ounces/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Coffee, freeze dried, regular, all sizes (cost per 16 ounces/453.6 grams)",No Data
APU0300717327,"Coffee, instant, plain, regular, all sizes, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Coffee, instant, plain, regular, all sizes, per lb. (453.6 gm)",No Data
APU0300717411,"Coffee, instant, plain, 9.1-14 ounce (cost per 16 ounces/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Coffee, instant, plain, 9.1-14 ounce (cost per 16 ounces/453.6 grams)",No Data
APU0300717412,"Coffee, instant, plain, 3.1-6 ounce (cost per 16 ounces/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Coffee, instant, plain, 3.1-6 ounce (cost per 16 ounces/453.6 grams)",No Data
APU0300717413,"Coffee, freeze dried, plain, 3.1-9 ounce (cost per 16 ounces/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Coffee, freeze dried, plain, 3.1-9 ounce (cost per 16 ounces/453.6 grams)",No Data
APU0300718311,"Potato chips, per 16 oz. in South urban, average price, not seasonally adjusted",South,"Potato chips, per 16 oz.",7.192
APU0300718631,"Pork and beans, canned (cost per 16 ounces/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Pork and beans, canned (cost per 16 ounces/453.6 grams)",No Data
APU0300720111,"Malt beverages, all types, all sizes, any origin, per 16 oz. (473.2 ml) in South urban, average price, not seasonally adjusted",South,"Malt beverages, all types, all sizes, any origin, per 16 oz. (473.2 ml)",1.746
APU0300720211,"Bourbon whiskey, 375 ml-1.75 liter (cost per 25.4 ounces/750 ml) in South urban, average price, not seasonally adjusted",South,"Bourbon whiskey, 375 ml-1.75 liter (cost per 25.4 ounces/750 ml)",No Data
APU0300720311,"Wine, red and white table, all sizes, any origin, per 1 liter (33.8 oz) in South urban, average price, not seasonally adjusted",South,"Wine, red and white table, all sizes, any origin, per 1 liter (33.8 oz)",12.882
APU030072511,"Fuel oil #2 per gallon (3.785 liters) in South urban, average price, not seasonally adjusted",South,Fuel oil #2 per gallon (3.785 liters),3.669
APU030072601,"Utility (piped) gas - 40 therms in South urban, average price, not seasonally adjusted",South,Utility (piped) gas - 40 therms,No Data
APU030072610,"Electricity per KWH in South urban, average price, not seasonally adjusted",South,Electricity per KWH,0.162
APU030072611,"Utility (piped) gas - 100 therms in South urban, average price, not seasonally adjusted",South,Utility (piped) gas - 100 therms,No Data
APU030072620,"Utility (piped) gas per therm in South urban, average price, not seasonally adjusted",South,Utility (piped) gas per therm,1.941
APU030072621,"Electricity per 500 KWH in South urban, average price, not seasonally adjusted",South,Electricity per 500 KWH,No Data
APU030074712,"Gasoline, leaded regular (cost per gallon/3.8 liters) in South urban, average price, not seasonally adjusted",South,"Gasoline, leaded regular (cost per gallon/3.8 liters)",No Data
APU030074713,"Gasoline, leaded premium (cost per gallon/3.8 liters) in South urban, average price, not seasonally adjusted",South,"Gasoline, leaded premium (cost per gallon/3.8 liters)",No Data
APU030074714,"Gasoline, unleaded regular, per gallon/3.785 liters in South urban, average price, not seasonally adjusted",South,"Gasoline, unleaded regular, per gallon/3.785 liters",2.893
APU030074715,"Gasoline, unleaded midgrade, per gallon/3.785 liters in South urban, average price, not seasonally adjusted",South,"Gasoline, unleaded midgrade, per gallon/3.785 liters",3.381
APU030074716,"Gasoline, unleaded premium, per gallon/3.785 liters in South urban, average price, not seasonally adjusted",South,"Gasoline, unleaded premium, per gallon/3.785 liters",3.738
APU030074717,"Automotive diesel fuel, per gallon/3.785 liters in South urban, average price, not seasonally adjusted",South,"Automotive diesel fuel, per gallon/3.785 liters",3.365
APU03007471A,"Gasoline, all types, per gallon/3.785 liters in South urban, average price, not seasonally adjusted",South,"Gasoline, all types, per gallon/3.785 liters",3.014
APU0300FC1101,"All uncooked ground beef, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"All uncooked ground beef, per lb. (453.6 gm)",6.68
APU0300FC2101,"All Uncooked Beef Roasts, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"All Uncooked Beef Roasts, per lb. (453.6 gm)",8.667
APU0300FC3101,"All Uncooked Beef Steaks, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"All Uncooked Beef Steaks, per lb. (453.6 gm)",12.21
APU0300FC4101,"All Uncooked Other Beef (Excluding Veal), per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"All Uncooked Other Beef (Excluding Veal), per lb. (453.6 gm)",8.422
APU0300FD2101,"All Ham (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"All Ham (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)",4.457
APU0300FD3101,"All Pork Chops, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"All Pork Chops, per lb. (453.6 gm)",4.282
APU0300FD4101,"All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)",3.479
APU0300FF1101,"Chicken breast, boneless, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Chicken breast, boneless, per lb. (453.6 gm)",3.628
APU0300FJ1101,"Milk, fresh, low-fat, reduced fat, skim, per gal. (3.8 lit) in South, average price, not seasonally adjusted",South,"Milk, fresh, low-fat, reduced fat, skim, per gal. (3.8 lit)",No Data
APU0300FJ4101,"Yogurt, per 8 oz. (226.8 gm) in South, average price, not seasonally adjusted",South,"Yogurt, per 8 oz. (226.8 gm)",1.579
APU0300FL2101,"Lettuce, romaine, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Lettuce, romaine, per lb. (453.6 gm)",3.173
APU0300FN1101,"All soft drinks, per 2 liters (67.6 oz) in South, average price, not seasonally adjusted",South,"All soft drinks, per 2 liters (67.6 oz)",1.87
APU0300FN1102,"All soft drinks, 12 pk, 12 oz., cans, per 12 oz. (354.9 ml) in South, average price, not seasonally adjusted",South,"All soft drinks, 12 pk, 12 oz., cans, per 12 oz. (354.9 ml)",0.544
